Production Year,Production Date Entered,Operator,County,Town,Field,Producing Formation,Active Oil Wells,Inactive Oil Wells,Active Gas Wells,Inactive Gas Wells,Injection Wells,Disposal Wells,Self-use Well,"Oil Produced, bbl","Gas Produced, Mcf","Water produced, bbl","Taxable Gas, Mcf",Purchaser Codes,Location
1984,1985-04-08,"Templeton Energy,  Inc.",Chautauqua,POMFRET,LAKESHORE,MEDINA,0,0,6,0,0,0,NO,0,34683,0,0,GK,"POMFRET, NY
(42.439996, -79.331441)"
1984,1985-04-04,Gypsum Energy Management Co.,Wyoming,SHELDON,SHELDON,MEDINA,0,0,10,4,0,0,NO,0,4445,0,0,GH,"SHELDON, NY
(42.737258, -78.418146)"
1984,1985-04-11,Columbia Gas Transmission Corp.,Wyoming,ARCADE,JAVA,MEDINA,0,0,0,1,0,0,INACTIVE,0,0,0,0,unknown,"ARCADE, NY
(42.534125, -78.423151)"
1984,1985-04-04,Mitchell Exploration Corp.,Cattaraugus,FARMERSVILLE,UNNAMED,MEDINA,0,0,0,2,0,0,INACTIVE,0,0,0,0,unknown,"FARMERSVILLE, NY
(42.387259, -78.377183)"
1984,1985-04-03,Potter Oil Co.,Allegany,INDEPENDENCE,BEECH HILL-INDEPENDENCE,FULMER VALLEY,28,1,0,0,6,0,NO,1976,16919,0,0,"GK,OB","INDEPENDENCE, NY
(42.088045, -77.781386)"
1984,1985-04-03,Myron Coss Gas Energy Co.,Erie,BRANT,NORTH COLLINS,MEDINA,0,0,4,0,0,0,YES,0,15,0,0,unknown,"BRANT, NY
(42.58859, -79.044449)"
1984,1985-04-10,"Gleason, Charlotte",Allegany,ANDOVER,ANDOVER,FULMER VALLEY,3,0,0,0,0,0,NO,53,5,3,0,OB,"ANDOVER, NY
(42.156405, -77.795231)"
1984,1985-04-02,Escolarite & Co.,Chautauqua,POMFRET,LAKESHORE,MEDINA,0,0,2,0,0,0,NO,0,15924,0,0,GK,"POMFRET, NY
(42.439996, -79.331441)"
1984,1985-04-02,"Local Energy, Inc.",Chautauqua,SHERIDAN,LAKESHORE,MEDINA,0,0,1,0,0,0,NO,0,2416,0,0,unknown,"SHERIDAN, NY
(42.485764, -79.241801)"
1984,1985-04-02,C & R Oil & Gas Corp.,Cattaraugus,ALLEGANY,FIVE MILE,BRADFORD,42,3,0,0,0,0,NO,1620,0,0,0,OB,"ALLEGANY, NY
(42.088061, -78.491258)"
1984,1985-04-09,"Warner Bros Well Drilling, Inc",Erie,NEWSTEAD,AKRON,MEDINA,0,0,8,0,0,0,NO,0,22894,0,0,GK,"NEWSTEAD, NY
(43.021136, -78.495603)"
1984,1985-04-03,Weaver Gas Well Management,Genesee,PAVILION,PAVILION,MEDINA,0,0,6,0,0,0,NO,0,16509,134,0,GK,"PAVILION, NY
(42.876072, -78.02272)"
1984,1985-04-04,Mitchell Exploration Corp.,Cattaraugus,MACHIAS,UNNAMED,MEDINA,0,0,0,1,0,0,INACTIVE,0,0,0,0,unknown,"MACHIAS, NY
(42.416255, -78.493246)"
1984,1985-06-26,Root Contracting,Allegany,SCIO,BROWNING,SCIO,48,10,0,0,0,0,NO,961,0,0,0,OB,"SCIO, NY
(42.171429, -77.97865)"
1984,1985-04-15,Quaker State Corp.,Cattaraugus,CARROLLTON,BRADFORD,BRADFORD,221,0,0,0,0,0,YES,39999,31930,3630,0,OB,"CARROLLTON, NY
(42.023289, -78.628438)"
1984,1985-04-15,"Doran & Associates, Inc.",Chautauqua,SHERMAN,LAKESHORE,MEDINA,0,0,0,1,0,0,INACTIVE,0,0,0,0,unknown,"SHERMAN, NY
(42.159351, -79.595176)"
1985,1986-02-24,"Abarta Oil & Gas, Inc.",Erie,EDEN,BRANT-EDEN,MEDINA,0,0,5,0,0,0,NO,0,32433,0,0,"GK,GU","EDEN, NY
(42.652413, -78.896936)"
1984,1985-04-10,Pennzoil Products Co.,Cattaraugus,CARROLLTON,CHIPMUNK,CHIPMUNK,43,0,0,0,39,0,NO,10033,0,240792,0,OA,"CARROLLTON, NY
(42.023289, -78.628438)"
1984,1985-04-10,K-Arcy Corp.,Allegany,BOLIVAR,RICHBURG,RICHBURG,6,1,0,0,0,0,NO,1152,0,1950,0,OB,"BOLIVAR, NY
(42.066701, -78.167667)"
1984,1985-04-15,"Envirogas, Inc.",Chautauqua,DUNKIRK,LAKESHORE,MEDINA,0,0,1,0,0,0,NO,0,4976,0,0,GK,"DUNKIRK, NY
(42.481338, -79.333958)"
1984,1985-04-12,"Energy Oil, Inc.",Genesee,PEMBROKE,ALDEN-LANCASTER,MEDINA,0,0,3,0,0,0,NO,0,5564,0,0,GK,"PEMBROKE, NY
(42.997549, -78.435048)"
1984,1985-04-03,"Tony's, Inc.",Chautauqua,DUNKIRK,LAKESHORE,MEDINA,0,0,1,0,0,0,YES,0,5088,0,0,unknown,"DUNKIRK, NY
(42.481338, -79.333958)"
1984,1985-05-02,"Venture Technology, Inc.",Chautauqua,POMFRET,LAKESHORE,MEDINA,0,0,0,2,0,0,INACTIVE,0,0,0,0,unknown,"POMFRET, NY
(42.439996, -79.331441)"
1984,1985-04-02,Tipperary Oil & Gas Corp.,Onondaga,LYSANDER,UNNAMED,TRENTON,0,0,0,1,0,0,INACTIVE,0,0,0,0,unknown,"LYSANDER, NY
(43.206531, -76.458858)"
1984,1985-04-08,NYS Natural Gas Co.,Erie,ELMA,ELMA,MEDINA,0,0,8,0,0,0,NO,0,89482,0,0,GK,"ELMA, NY
(42.822476, -78.636722)"
1984,1985-11-27,"Crooks, John C",Allegany,GENESEE,RICHBURG,RICHBURG,20,0,0,0,0,0,NO,252,0,0,0,OB,"GENESEE, NY
(42.02693, -78.205893)"
1984,1985-04-08,"Templeton Energy,  Inc.",Chautauqua,WESTFIELD,LAKESHORE,MEDINA,0,0,48,36,0,0,NO,0,278615,0,0,"GH,GK","WESTFIELD, NY
(42.324884, -79.573821)"
1984,1985-01-18,"Hitchcock, Glen",Cattaraugus,ALLEGANY,BRADFORD,BRADFORD,0,1,0,0,0,0,INACTIVE,0,0,0,0,unknown,"ALLEGANY, NY
(42.088061, -78.491258)"
1984,1985-04-03,"S & M Resources,  Inc.",Chautauqua,ELLERY,LAKESHORE,MEDINA,3,2,0,0,0,0,NO,0,32069,0,0,"GH,OB","ELLERY, NY
(42.159868, -79.393216)"
1985,1986-03-06,"Aurelius Gas Company, Inc.",Cayuga,SPRINGPORT,WEST AUBURN,QUEENSTON,0,0,7,0,0,0,NO,0,43085,0,0,GI,"SPRINGPORT, NY
(42.842233, -76.691958)"
1984,1985-04-11,National Fuel Gas Supply Corp.,Erie,COLLINS,ZOAR,ONONDAGA,0,0,0,1,0,0,INACTIVE,0,0,0,0,unknown,"COLLINS, NY
(42.496522, -78.914064)"
1984,1985-04-04,"Ebenezer Oil Co., Inc.",Allegany,WIRT,RICHBURG,RICHBURG,0,5,0,0,0,0,INACTIVE,0,0,0,0,unknown,"WIRT, NY
(42.137408, -78.150594)"
1984,1985-04-09,Miller Drilling Co.,Cattaraugus,ALLEGANY,BRADFORD,BRADFORD,4,0,0,0,0,0,NO,96,300,300,0,OA,"ALLEGANY, NY
(42.088061, -78.491258)"
1984,1985-04-10,"Black, Terry F",Cattaraugus,ALLEGANY,BRADFORD,BRADFORD,25,0,0,0,0,0,NO,2184,0,0,0,OA,"ALLEGANY, NY
(42.088061, -78.491258)"
1985,1986-03-03,"Arrowhead Gas Producers, Inc.",Chautauqua,ELLICOTT,LAKESHORE,MEDINA,0,0,2,2,0,0,NO,0,12516,100,0,GH,"ELLICOTT, NY
(42.734402, -78.731697)"
1984,1985-04-15,"Envirogas, Inc.",Cattaraugus,DAYTON,DAYTON,MEDINA,0,0,0,3,0,0,INACTIVE,0,0,0,0,unknown,"DAYTON, NY
(42.399022, -79.003431)"
1984,1985-01-17,"Mest, Robert J",Erie,HOLLAND,GLENWOOD,MEDINA,0,0,0,1,0,0,INACTIVE,0,0,0,0,unknown,"HOLLAND, NY
(42.641006, -78.541743)"
1984,1985-04-02,"J & J Realty, Inc.",Erie,NORTH COLLINS,NORTH COLLINS,MEDINA,0,0,1,0,0,0,NO,0,3342,0,0,GK,"NORTH COLLINS, NY
(42.595159, -78.940951)"
1984,1985-04-03,"Youngberg, Larry",Chautauqua,HANOVER,LAKESHORE,MEDINA,0,0,1,0,0,0,NO,0,1826,0,0,GK,"HANOVER, NY
(42.9669, -75.378098)"
1984,1985-04-02,E & R Leasing,Chautauqua,WESTFIELD,LAKESHORE,MEDINA,0,0,1,0,0,0,NO,0,18065,0,0,GK,"WESTFIELD, NY
(42.324884, -79.573821)"
1984,1985-04-15,"Doran & Associates, Inc.",Chautauqua,MINA,LAKESHORE,MEDINA,0,0,5,0,0,0,NO,0,10575,584,0,GH,"MINA, NY
(42.130114, -79.694407)"
1984,1985-04-10,"Briggs, Courtland M.",Erie,ELMA,ELMA,MEDINA,0,0,0,1,0,0,INACTIVE,0,0,0,0,unknown,"ELMA, NY
(42.822476, -78.636722)"
1984,1985-04-03,"Lenape Resources Corp., The",Livingston,YORK,UHLEY CORNERS-CALEDONIA,MEDINA,0,0,54,4,0,0,NO,0,924942,0,0,GI,"YORK, NY
(42.871099, -77.885584)"
1984,1985-04-08,NYS Natural Gas Co.,Chautauqua,RIPLEY,LAKESHORE,MEDINA,0,0,6,1,0,0,NO,0,67700,0,0,GK,"RIPLEY, NY
(42.266859, -79.710476)"
1984,1985-04-12,Gemini Oil Company,Chautauqua,BUSTI,BUSTI,GLADE,23,0,0,0,0,0,NO,880,440,278,0,OB,"BUSTI, NY
(42.038067, -79.283549)"
1984,1985-04-04,"Universal Resources Holdings, Incorporated",Chautauqua,STOCKTON,LAKESHORE,MEDINA,0,0,0,1,0,0,INACTIVE,0,0,0,0,unknown,"STOCKTON, NY
(42.316097, -79.359685)"
1984,1985-04-12,Lenacre Oil Co.,Chautauqua,BUSTI,BUSTI,GLADE,52,1,0,0,0,0,NO,1181,591,708,0,OB,"BUSTI, NY
(42.038067, -79.283549)"
1985,1986-01-23,Alden Central School District,Erie,ALDEN,ALDEN-LANCASTER,MEDINA,0,0,1,0,0,0,YES,0,522,0,0,unknown,"ALDEN, NY
(42.900146, -78.4922)"
1984,1985-04-03,"Plants and Goodwin, Inc.",Allegany,SCIO,RICHBURG,RICHBURG,22,0,0,0,0,0,NO,195,0,1000,0,OB,"SCIO, NY
(42.171429, -77.97865)"
1984,1985-04-03,"Lenape Resources Corp., The",Wyoming,PERRY,LEICESTER,MEDINA,0,0,14,1,0,0,NO,0,96506,0,0,GK,"PERRY, NY
(42.719701, -78.000751)"
1984,1985-04-08,"Templeton Energy,  Inc.",Erie,NEWSTEAD,ALDEN-LANCASTER,MEDINA,0,0,1,0,0,0,NO,0,2793,0,0,GX,"NEWSTEAD, NY
(43.021136, -78.495603)"
1984,1985-04-15,"Lipman, Robert & Joan",Erie,LACKAWANNA,BUFFALO,MEDINA,0,0,2,0,0,0,NO,0,1960,0,0,GK,"LACKAWANNA, NY
(42.816277, -78.824001)"
1984,1985-04-02,Iroquois Central School District,Erie,ELMA,ELMA,MEDINA,0,0,1,0,0,0,YES,0,2755,0,0,unknown,"ELMA, NY
(42.822476, -78.636722)"
1984,1985-06-06,"Exchange Oil & Gas,  Inc.",Cattaraugus,ALLEGANY,BRADFORD,BRADFORD,1,0,0,0,0,0,NO,12600,0,0,0,OB,"ALLEGANY, NY
(42.088061, -78.491258)"
1984,1985-04-04,"Universal Resources Holdings, Incorporated",Chautauqua,CHARLOTTE,LAKESHORE,MEDINA,0,0,29,5,0,0,NO,0,148921,0,0,GH,"CHARLOTTE, NY
(43.255001, -77.617203)"
1984,1985-04-15,"Envirogas, Inc.",Cattaraugus,LITTLE VALLEY,LITTLE VALLEY,MEDINA,0,0,0,3,0,0,INACTIVE,0,0,0,0,unknown,"LITTLE VALLEY, NY
(42.249415, -78.798835)"
1984,1985-04-12,Niagara Therapy Manufacturing Corp.,Chautauqua,PORTLAND,LAKESHORE,MEDINA,0,0,1,0,0,0,YES,0,4996,0,0,unknown,"PORTLAND, NY
(42.379838, -79.467344)"
1985,1986-04-22,Arlington Exploration Co.,Livingston,WEST SPARTA,DANSVILLE,MARCELLUS,0,0,1,0,0,0,NO,0,427,0,0,GI,"WEST SPARTA, NY
(42.626694, -77.77227)"
1984,1985-04-15,Quaker State Corp.,Cattaraugus,OLEAN,FIVE MILE,BRADFORD,9,0,0,0,0,0,YES,388,350,35,0,OB,"OLEAN, NY
(42.077495, -78.429849)"
1984,1985-04-11,National Fuel Gas Supply Corp.,Erie,LANCASTER,ALDEN-LANCASTER,MEDINA,0,0,5,1,0,0,YES,0,47462,0,0,unknown,"LANCASTER, NY
(42.892784, -78.676417)"
1984,1985-04-03,"Cross, Wayne D",Cattaraugus,PERRYSBURG,LAKESHORE,MEDINA,0,0,1,0,0,0,YES,0,0,0,0,unknown,"PERRYSBURG, NY
(42.460246, -79.002177)"
1984,1985-06-06,"Vossler, Merritt",Allegany,ALMA,RICHBURG,RICHBURG,3,121,0,0,0,0,NO,51,0,0,0,OB,"ALMA, NY
(42.012207, -78.060759)"
1984,1985-04-10,"Reserve Gas Company, Inc.",Erie,ALDEN,ALDEN-LANCASTER,MEDINA,0,0,20,0,0,0,NO,0,24960,0,0,GN,"ALDEN, NY
(42.900146, -78.4922)"
1984,1985-01-18,"Slater, Patricia A.",Erie,ALDEN,ALDEN-LANCASTER,MEDINA,0,0,0,1,0,0,INACTIVE,0,0,0,0,unknown,"ALDEN, NY
(42.900146, -78.4922)"
1984,1985-04-03,"Excel Industries, Inc.",Erie,NEWSTEAD,HOLLAND,MEDINA,0,0,1,0,0,0,YES,0,900,0,0,unknown,"NEWSTEAD, NY
(43.021136, -78.495603)"
1984,1985-04-09,"GFS Energy, Inc.",Erie,NEWSTEAD,ALDEN-LANCASTER,MEDINA,0,0,4,1,0,0,NO,0,870,0,0,GQ,"NEWSTEAD, NY
(43.021136, -78.495603)"
1984,1985-05-02,Visco-Mcdonald,Cattaraugus,DAYTON,LAKESHORE,MEDINA,0,0,0,1,0,0,INACTIVE,0,0,0,0,unknown,"DAYTON, NY
(42.399022, -79.003431)"
1984,1985-04-15,William Barnes Drlg & Prod Co.,Allegany,FRIENDSHIP,NILE,WAUGH & PORTER,1,0,0,0,0,0,NO,186,0,0,0,OB,"FRIENDSHIP, NY
(42.207973, -78.133696)"
1984,1985-04-04,Cumberland Oil Corp.,Chautauqua,VILLENOVA,LAKESHORE,MEDINA,0,0,8,0,0,0,NO,0,85882,0,0,GQ,"VILLENOVA, NY
(42.391743, -79.119456)"
1984,1985-04-15,Quaker State Corp.,Allegany,ALMA,STATE LINE,ORISKANY,0,0,1,0,0,0,NO,0,1779,500,0,GK,"ALMA, NY
(42.012207, -78.060759)"
1984,1985-04-03,"Westmin Resources,  Inc.",Wyoming,GENESEE FALLS,UNNAMED,MEDINA,0,0,0,2,0,0,INACTIVE,0,0,0,0,unknown,"GENESEE FALLS, NY
(42.569808, -78.039996)"
1984,1985-04-11,National Fuel Gas Supply Corp.,Erie,BRANT,ORCHARD PARK-HAMBURG,CLINTON,0,0,1,0,0,0,YES,0,2094,0,0,unknown,"BRANT, NY
(42.58859, -79.044449)"
1985,1986-03-06,"Aurelius Gas Company, Inc.",Seneca,FAYETTE,FAYETTE-WATERLOO,QUEENSTON,0,0,4,0,0,0,NO,0,35284,0,0,GI,"FAYETTE, NY
(42.831987, -76.847469)"
1984,1985-04-04,"Ebenezer Oil Co., Inc.",Allegany,WELLSVILLE,RICHBURG,RICHBURG,28,1,0,0,10,0,NO,176,0,0,0,OB,"WELLSVILLE, NY
(42.120693, -77.946058)"
1984,1985-04-10,Natural Resource Management Corp.,Cattaraugus,RANDOLPH,RANDOLPH,MEDINA,0,0,51,7,0,0,NO,0,424626,498,0,GH,"RANDOLPH, NY
(42.161398, -78.978764)"
1984,1985-04-12,National Fuel Gas Supply Corp.,Erie,ORCHARD PARK,ORCHARD PARK-HAMBURG,MEDINA,0,0,4,0,0,0,YES,0,16050,0,0,unknown,"ORCHARD PARK, NY
(42.767456, -78.743906)"
1984,1985-01-17,Waste Water Treatment Plant,Chautauqua,DUNKIRK,LAKESHORE,MEDINA,0,0,1,0,0,0,YES,0,1939,0,0,unknown,"DUNKIRK, NY
(42.481338, -79.333958)"
1984,1985-04-10,Green Valley Gas Service Corp.,Erie,ALDEN,ALDEN-LANCASTER,MEDINA,0,0,3,0,0,0,NO,0,10888,0,0,GN,"ALDEN, NY
(42.900146, -78.4922)"
1984,1985-05-02,"Dedrick, Douglas",Erie,AURORA,EAST AURORA,MEDINA,0,0,1,0,0,0,NO,0,5061,0,0,GK,"AURORA, NY
(42.753982, -76.70241)"
1984,1985-04-10,"Resource Exploration, Inc.",Chautauqua,HARMONY,LAKESHORE,MEDINA,0,1,0,0,0,0,INACTIVE,0,0,0,0,unknown,"HARMONY, NY
(42.074924, -79.486378)"
1984,1985-04-15,"Envirogas, Inc.",Cattaraugus,CONEWANGO,LAKESHORE,MEDINA,0,0,5,0,0,0,NO,0,18637,0,0,GH,"CONEWANGO, NY
(42.238697, -79.031066)"
1984,1985-01-17,Conklin Oil,Allegany,BOLIVAR,RICHBURG,RICHBURG,10,1,0,0,0,0,NO,89,0,0,0,OB,"BOLIVAR, NY
(42.066701, -78.167667)"
1984,1985-04-04,U S Energy Development Corp.,Erie,CONCORD,CONCORD,MEDINA,0,0,0,4,0,0,INACTIVE,0,0,0,0,unknown,"CONCORD, NY
(42.535259, -78.731387)"
1984,1985-04-04,"Park-Ohio Energy,  Inc.",Steuben,TUSCARORA,UNNAMED,ORISKANY,0,0,0,2,0,0,INACTIVE,0,0,0,0,unknown,"TUSCARORA, NY
(42.638385, -77.868648)"
1984,1985-04-12,"Energy Oil, Inc.",Erie,NEWSTEAD,ALDEN-LANCASTER,MEDINA,0,0,1,0,0,0,NO,0,5660,0,0,GK,"NEWSTEAD, NY
(43.021136, -78.495603)"
1984,1985-04-03,"KBK Land Ventures, Inc.",Chautauqua,SHERIDAN,LAKESHORE,MEDINA,0,0,1,0,0,0,YES,0,1500,0,0,unknown,"SHERIDAN, NY
(42.485764, -79.241801)"
1984,1985-04-08,NYS Natural Gas Co.,Chautauqua,WESTFIELD,LAKESHORE,MEDINA,0,0,3,1,0,0,NO,0,429,0,0,GK,"WESTFIELD, NY
(42.324884, -79.573821)"
1984,1985-04-15,"Envirogas, Inc.",Chautauqua,POLAND,LAKESHORE,MEDINA,0,0,49,7,0,0,NO,0,344351,0,0,GH,"POLAND, NY
(43.226463, -75.062063)"
1984,1985-04-03,Templeton & Woods,Cattaraugus,CARROLLTON,BRADFORD,BRADFORD,1,0,0,0,0,0,NO,110,0,0,0,OC,"CARROLLTON, NY
(42.023289, -78.628438)"
1985,1986-03-03,"Arrowhead Gas Producers, Inc.",Chautauqua,GERRY,LAKESHORE,MEDINA,0,0,2,0,0,0,NO,0,54499,100,0,GH,"GERRY, NY
(42.194749, -79.250394)"
1984,1985-04-15,Meridian Exploration Corp.,Chautauqua,POMFRET,LAKESHORE,MEDINA,0,0,2,0,0,0,NO,0,5482,0,0,GK,"POMFRET, NY
(42.439996, -79.331441)"
1985,1986-02-24,4-R Investment Co.,Chautauqua,GERRY,LAKESHORE,MEDINA,0,0,2,0,0,0,NO,0,7767,0,0,GK,"GERRY, NY
(42.194749, -79.250394)"
1984,1985-04-03,New Gas Drilling Co.,Chautauqua,SHERIDAN,LAKESHORE,MEDINA,0,0,1,0,0,0,NO,0,2332,0,0,GK,"SHERIDAN, NY
(42.485764, -79.241801)"
1984,1985-04-04,Gypsum Energy Management Co.,Wyoming,BENNINGTON,BENNINGTON,MEDINA,0,0,6,3,0,0,NO,0,3850,0,0,GH,"BENNINGTON, NY
(42.837023, -78.397809)"
1984,1985-04-11,Berea Oil & Gas Corp.,Chautauqua,WESTFIELD,LAKESHORE,MEDINA,0,0,1,0,0,0,NO,0,19641,0,0,GH,"WESTFIELD, NY
(42.324884, -79.573821)"
1984,1985-04-10,Pennzoil Products Co.,Cattaraugus,CARROLLTON,CHIPMUNK,ONONDAGA,0,0,0,4,0,0,INACTIVE,14,16,0,0,"GJ,OX","CARROLLTON, NY
(42.023289, -78.628438)"
1984,1985-04-11,National Fuel Gas Supply Corp.,Erie,BRANT,ORCHARD PARK-HAMBURG,MEDINA,0,0,2,0,0,0,YES,0,42643,0,0,unknown,"BRANT, NY
(42.58859, -79.044449)"
